Japanese,English
。,。
何,what
あ,a
あなた,you
言,Word
行,line
人,Man
知,Knowledge
）,)
（,(
事,case
彼女,she
お前,you
話,Story
来,Coming
分か,Division
者,person
聞,Hearing
死,death
時,Time
ああ,ah
殺,Murder
前,Before
中,During ~
達,Daiser
必要,need
あの,that
気,air
大丈夫,Are you okay
」,""""
「,""""""
自分,myself
持,Holding
本当,TRUE
時間,time
我々,we
一,one
的,Intended
無,Nothing
ありがとう,thank you
家,House
会,Meeting
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,rear
出来,Good
他,other
入,Entering
電話,phone
目,eye
様,Mr.
分,Part
車,car
所,Place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Religion
さあ,here we go
少し,a bit
使,Use
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物,thing
女,woman
呼,Call
生き,Life
あれ,that
じゃあ,Then
止め,Stop
心配,anxiety
母,mother
連れ,Companion
関係,relationship
外,Outside
家族,family
起き,Rising
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Work
次,Next
息子,son
取,Take
全部,All
間,while
書,book
捜査,investigation
起こ,Ranging
回,times
別,another
情報,information
理由,reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,woman
続け,continue
事件,Case
始め,start
最初,first
連絡,contact
まあ,oh dear
調べ,Investigation
安全,safety
下さ,Slapstick
楽し,Pleasure
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,Impossible
感じ,Feeling
得,Benefit
最高,Best
送,Sending
計画,plan
仲間,fellow
先,Precedence
可能,Possible
あいつ,that person
あと,After
明日,tomorrow
変わ,Change
聞こえ,Hear
確認,confirmation
命,life
着,Wearing
与え,Giving
全員,All
動,Movement
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,Machine
不,Unprecedented
あげ,Gain
離れ,Farewell
戦,War
先生,teacher
言え,say
質問,question
置,Place
犯人,culprit
受け,received
感,Feeling
第,First
あぁ,Ahh
伝え,Conveyor
素晴らし,Wonderful
ドア,door
本,Book
乗,Boarding
用,for
感謝,Gratitude
正し,Right
言葉,words
大,Big
立,Standing
写真,photograph
２人,Two people
説明,explanation
博士,Doctor
強,strength
絶対,absolute
座,seat
国,Country
向か,Opposite
名,given name
ある,be
